K,lawfulness,net,benefit,cost
0.01,0.72,-0.031931627520000005,0.0017231104799999997,0.033654738000000003
0.01,0.73,-0.031186624430000007,0.00174704257,0.03293366700000001
0.01,0.74,-0.030441621339999995,0.00177097466,0.032212595999999996
0.01,0.75,-0.029696618250000008,0.00179490675,0.031491525000000006
0.01,0.76,-0.02895161516,0.00181883884,0.030770454
0.01,0.77,-0.028206612069999998,0.00184277093,0.030049383
0.01,0.78,-0.027461608979999996,0.00186670302,0.029328311999999995
0.01,0.79,-0.02671660589,0.0018906351100000003,0.028607241000000002
0.01,0.8,-0.025971602799999997,0.0019145672000000001,0.02788617
0.01,0.81,-0.025226599709999995,0.00193849929,0.027165098999999995
0.01,0.8200000000000001,-0.024481596619999994,0.0019624313800000004,0.026444027999999994
0.01,0.8300000000000001,-0.02373659353,0.00198636347,0.025722956999999998
0.01,0.84,-0.022991590440000004,0.00201029556,0.025001886000000004
0.01,0.85,-0.022246587350000003,0.00203422765,0.024280815000000004
0.01,0.86,-0.021501584260000005,0.00205815974,0.023559744000000004
0.01,0.87,-0.020756581170000003,0.00208209183,0.022838673000000004
0.01,0.88,-0.020011578080000002,0.00210602392,0.022117602
0.01,0.89,-0.01926657499,0.00212995601,0.021396531
0.01,0.9,-0.0185215719,0.0021538881,0.02067546
0.01,0.91,-0.01777656881,0.0021778201899999997,0.019954389
0.01,0.92,-0.01703156572,0.00220175228,0.019233318
0.01,0.93,-0.016286562629999994,0.00222568437,0.018512246999999996
0.01,0.9400000000000001,-0.01554155954,0.0022496164599999998,0.017791176
0.01,0.9500000000000001,-0.014796556449999995,0.00227354855,0.017070104999999995
0.01,0.96,-0.014051553360000005,0.00229748064,0.016349034000000005
