scenario,step,x,record_similarity,identity_path,record_quality,agency,P_body,coherence,drag,free_resource,boundary_effect,boundary_opportunity,gamma_spirit,locality_cert,law_cert,noncoerce_cert,agency_compat,forced_order,observer_S,description_phase,B_addr,Lambda_path,Gamma_spirit,Xi_law,Pi_noncoerce,A_compat,gate_spirit,P_spirit_raw,P_spirit,B_body_cap,B_spirit_cap,B_cap_total,B_act_body,B_act_spirit,B_act_total,B_path,active_spirit_participation
frozen_record,47,0.19665271966527198,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,48,0.200836820083682,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,49,0.20502092050209206,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,50,0.20920502092050208,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,51,0.21338912133891214,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,52,0.2175732217573222,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,53,0.2217573221757322,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,54,0.22594142259414227,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,55,0.2301255230125523,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,56,0.23430962343096234,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
